# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: hostname, datatype: string}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: period, unit: d, datatype: float64}
# - {name: semimajoraxis, unit: AU, datatype: float64}
# - {name: e, datatype: float64}
# - {name: omega, unit: deg, datatype: float64}
# - {name: inclination, unit: deg, datatype: float64}
# - {name: transit_epoch, unit: d, datatype: float64}
# - {name: transit_duration, unit: d, datatype: float64}
# - {name: transit_depth, datatype: float64}
# - {name: stellar_teff, unit: K, datatype: float64}
# - {name: stellar_radius, unit: solRad, datatype: float64}
# - {name: stellar_mass, unit: solMass, datatype: float64}
# - {name: stellar_age, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_upper, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_lower, unit: Gyr, datatype: float64}
# - {name: UJmag, datatype: float64}
# - {name: VJmag, datatype: float64}
# - {name: BJmag, datatype: float64}
# - {name: RCmag, datatype: float64}
# - {name: ICmag, datatype: float64}
# - {name: Jmag, datatype: float64}
# - {name: Hmag, datatype: float64}
# - {name: Kmag, datatype: float64}
# - {name: WISE1mag, datatype: float64}
# - {name: WISE2mag, datatype: float64}
# - {name: WISE3mag, datatype: float64}
# - {name: WISE4mag, datatype: float64}
# - {name: radius, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_upper, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_lower, unit: earthRad, datatype: float64}
# - {name: transit_ar, datatype: float64}
# - {name: transit_b, datatype: float64}
# - {name: rv_semiamplitude, datatype: float64}
# - {name: mass, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_upper, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_lower, unit: earthMass, datatype: float64}
# - {name: msini, unit: earthMass, datatype: float64}
# - {name: distance, unit: pc, datatype: float64}
# - {name: distance_uncertainty_upper, unit: pc, datatype: float64}
# - {name: distance_uncertainty_lower, unit: pc, datatype: float64}
# - {name: discoverer, datatype: string}
# - {name: method, datatype: string}
# - {name: has_transit, datatype: int32}
# - {name: has_RV, datatype: int32}
# schema: astropy-2.0
name hostname ra dec period semimajoraxis e omega inclination transit_epoch transit_duration transit_depth stellar_teff stellar_radius stellar_mass stellar_age stellar_age_uncertainty_upper stellar_age_uncertainty_lower UJmag VJmag BJmag RCmag ICmag Jmag Hmag Kmag WISE1mag WISE2mag WISE3mag WISE4mag radius radius_uncertainty_upper radius_uncertainty_lower transit_ar transit_b rv_semiamplitude mass mass_uncertainty_upper mass_uncertainty_lower msini distance distance_uncertainty_upper distance_uncertainty_lower discoverer method has_transit has_RV
"2MASS J01033563-5515561 AB b" "2MASS J01033563-5515561 A" 15.898458 -55.265583 nan 84.0 nan nan nan nan nan nan nan nan 0.19 0.03 inf inf nan nan nan nan nan 7.36 6.78 6.44 nan nan nan nan nan inf inf nan nan nan 4131.79 317.83 -317.83 nan 47.2 3.1 -3.1 "Paranal Observatory" Imaging 0 0
"2MASS J01225093-2439505 b" "2MASS J01225093-2439505" 20.712243 -24.664049 nan 52.0 nan nan nan nan nan nan 3530.0 nan 0.4 0.12 0.01 -0.01 nan 14.24 nan nan nan 10.084 9.47 9.198 9.022 8.857 8.747 8.298 nan inf inf nan nan nan 7786.5 794.5 -794.5 nan 36.0 4.0 -4.0 "W. M. Keck Observatory" Imaging 0 0
"2MASS J02192210-3925225 b" "2MASS J02192210-3925225" 34.842106 -39.422928 nan 156.0 nan nan nan nan nan nan 3064.0 0.28 0.11 0.035 0.005 -0.005 nan nan 18.5 15.23 13.42 11.381 10.811 10.404 10.148 9.901 9.614 9.001 16.141 0.336 -0.336 nan nan nan 4417.837 349.613 -349.613 nan 39.4 2.6 -2.6 "Cerro Tololo Inter-American Observatory" Imaging 0 0
"2MASS J04414489+2301513 b" "2MASS J04414489+2301513" 70.437073 23.030941 nan 15.0 nan nan nan nan nan nan nan nan 0.02 0.001 inf inf nan nan nan nan nan 14.419 13.726 13.161 nan nan nan nan nan inf inf nan nan nan 2383.6 794.5 -794.5 nan 140.0 nan nan "Hubble Space Telescope" Imaging 0 0
"2MASS J12073346-3932539 b" "2MASS J12073346-3932539" 181.889447 -39.548332 nan 46.0 nan nan nan nan nan nan nan nan 0.02 0.008 0.004 -0.003 nan 20.15 nan nan nan 12.995 12.388 11.945 11.574 11.017 9.469 8.121 nan inf inf nan nan nan 1271.0 318.0 -318.0 nan 64.42 0.65 -0.65 "Paranal Observatory" Imaging 0 0
"2MASS J19383260+4603591 b" "2MASS J19383260+4603591" 294.635865 46.066418 416.0 0.92 nan nan nan nan nan nan 10868.0 0.34 0.48 nan inf inf nan nan nan nan nan 12.757 12.889 12.955 12.862 12.92 12.67 9.203 nan inf inf nan nan nan 603.877 31.783 -31.783 nan 400.77 6.48 -6.48 Kepler "Eclipse Timing Variations" 0 0
"2MASS J21402931+1625183 A b" "2MASS J21402931+1625183 A" 325.122159 16.421759 7336.5 nan 0.26 223.0 46.2 nan nan nan 2300.0 0.12 0.08 nan inf inf nan nan nan nan nan 12.94 12.266 11.826 11.375 11.135 10.687 8.971 10.31 4.37 -4.04 nan nan nan 6657.48 26629.91 -6657.48 nan 25.0 10.0 -10.0 "W. M. Keck Observatory" Imaging 0 1
"2MASS J22362452+4751425 b" "2MASS J22362452+4751425" 339.102203 47.86182 nan 230.0 nan nan nan nan nan nan 4045.0 0.62 0.6 0.12 0.01 -0.01 nan 12.51 13.73 nan nan 9.975 9.338 9.148 9.058 9.094 8.947 8.731 nan inf inf nan nan nan 3972.875 476.745 -476.745 nan 74.0 10.0 -10.0 "W. M. Keck Observatory" Imaging 0 0
"30 Ari B b" "30 Ari B" 39.240585 24.648064 335.10001 0.99 0.29 nan nan nan nan nan 6331.0 1.41 1.93 0.91 inf inf nan 6.962 7.458 nan nan 6.08 5.908 5.822 5.963 5.669 5.825 5.679 nan inf inf nan nan 272.0 nan inf inf 4392.4106 44.71 0.1 -0.1 "Thueringer Landessternwarte Tautenburg" "Radial Velocity" 0 1
"4 UMa b" "4 UMa" 130.053406 64.327934 269.3 0.87 0.432 23.81 nan nan nan nan 4415.0 18.11 1.23 4.604 2.0 -2.0 6.94 4.61 5.78 nan nan 2.619 2.021 1.734 -0.342 0.1 1.817 1.755 nan inf inf nan nan 215.55 nan inf inf 2256.5 73.58 1.18 -1.18 "Thueringer Landessternwarte Tautenburg" "Radial Velocity" 0 1
"42 Dra b" "42 Dra" 276.496399 65.563484 479.1 1.19 0.38 218.7 nan nan nan nan 4200.0 22.03 0.98 9.49 1.76 -1.76 7.12 4.82 6.01 nan nan 2.949 2.197 2.085 -0.152 0.372 2.022 1.892 nan inf inf nan nan 110.5 nan inf inf 1233.13 90.86 1.32 -1.32 "Thueringer Landessternwarte Tautenburg" "Radial Velocity" 0 1
"47 UMa b" "47 UMa" 164.866562 40.430256 1078.0 2.1 0.032 334.0 nan nan nan nan 5892.0 1.23 1.03 7.3 1.9 -1.9 5.79 5.05 5.66 nan nan 3.96 3.736 3.75 3.556 3.143 3.586 3.553 nan inf inf nan nan 48.4 nan inf inf 804.08 13.8 0.03 -0.03 "Lick Observatory" "Radial Velocity" 0 1
"47 UMa c" "47 UMa" 164.866562 40.430256 2391.0 3.6 0.098 295.0 nan nan nan nan 5892.0 1.23 1.03 7.3 1.9 -1.9 5.79 5.05 5.66 nan nan 3.96 3.736 3.75 3.556 3.143 3.586 3.553 nan inf inf nan nan 8.0 nan inf inf 171.621 13.8 0.03 -0.03 "Lick Observatory" "Radial Velocity" 0 1
"47 UMa d" "47 UMa" 164.866562 40.430256 14002.0 11.6 0.16 110.0 nan nan nan nan 5892.0 1.23 1.03 7.3 1.9 -1.9 5.79 5.05 5.66 nan nan 3.96 3.736 3.75 3.556 3.143 3.586 3.553 nan inf inf nan nan 13.8 nan inf inf 521.22 13.8 0.03 -0.03 "Lick Observatory" "Radial Velocity" 0 1
"51 Eri b" "51 Eri" 69.400551 -2.473548 11688.0 12.0 0.45 87.0 133.0 nan nan nan 7190.1 1.56 1.75 0.02 0.006 -0.006 5.55 5.23 5.51 5.38 4.889 4.744 4.77 4.537 4.543 4.31 4.575 4.39 nan inf inf nan nan nan nan inf inf nan 29.4 0.3 -0.3 "Gemini Observatory" Imaging 0 0
"51 Peg b" "51 Peg" 344.366577 20.768833 4.230785 0.0527 0.013 58.0 nan nan nan nan 5793.0 1.2 1.12 4.0 2.5 -2.5 6.37 5.5 6.17 nan nan 4.655 4.234 3.911 3.909 3.624 3.929 3.904 nan inf inf nan nan 55.94 nan inf inf 150.009 15.47 0.03 -0.03 "Haute-Provence Observatory" "Radial Velocity" 0 1
"55 Cnc b" "55 Cnc" 133.149216 28.330818 14.65152 0.115227 0.0034 98.0 90.0 nan nan nan 5196.0 0.94 0.91 10.2 2.5 -2.5 nan 5.96 6.83 nan nan 4.768 4.265 4.015 4.001 3.296 4.051 4.014 nan inf inf nan nan 71.4 263.9785 1.0488 -1.0488 nan 12.59 0.01 -0.01 "Lick Observatory" "Radial Velocity" 0 1
"55 Cnc c" "55 Cnc" 133.149216 28.330818 44.4175 0.241376 0.02 51.0 90.0 nan nan nan 5196.0 0.94 0.91 10.2 2.5 -2.5 nan 5.96 6.83 nan nan 4.768 4.265 4.015 4.001 3.296 4.051 4.014 nan inf inf nan nan 10.18 54.4738 1.748 -1.748 nan 12.59 0.01 -0.01 "McDonald Observatory" "Radial Velocity" 0 1
"55 Cnc d" "55 Cnc" 133.149216 28.330818 4825.0 5.503 0.019 44.0 90.0 nan nan nan 5196.0 0.94 0.91 10.2 2.5 -2.5 nan 5.96 6.83 nan nan 4.768 4.265 4.015 4.001 3.296 4.051 4.014 nan inf inf nan nan 48.29 1232.493 21.612 -21.612 nan 12.59 0.01 -0.01 "Lick Observatory" "Radial Velocity" 0 1
"55 Cnc e" "55 Cnc" 133.149216 28.330818 0.736539 0.01544 nan nan 83.3 2455733.013 nan nan 5196.0 0.94 0.91 10.2 2.5 -2.5 nan 5.96 6.83 nan nan 4.768 4.265 4.015 4.001 3.296 4.051 4.014 1.91 0.08 -0.08 nan 0.41 nan 8.08 0.31 -0.31 nan 12.59 0.01 -0.01 "McDonald Observatory" "Radial Velocity" 1 1
"55 Cnc f" "55 Cnc" 133.149216 28.330818 262.0 0.788 0.305 166.0 90.0 nan nan nan 5196.0 0.94 0.91 10.2 2.5 -2.5 nan 5.96 6.83 nan nan 4.768 4.265 4.015 4.001 3.296 4.051 4.014 nan inf inf nan nan 4.87 44.812 3.814 -3.814 nan 12.59 0.01 -0.01 "Multiple Observatories" "Radial Velocity" 0 1
"6 Lyn b" "6 Lyn" 97.696281 58.162632 934.3 2.11 0.073 130.0 nan nan nan nan 4938.0 5.2 1.44 2.353 inf inf 7.48 5.86 6.82 nan nan 4.272 3.825 3.701 3.662 2.916 3.689 3.589 nan inf inf nan nan 32.8 nan inf inf 638.8383 54.74 0.27 -0.27 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"61 Vir b" "61 Vir" 199.601318 -18.311195 4.215 0.050201 0.12 105.0 nan nan nan nan 5577.0 0.96 0.94 8.96 2.76 -3.08 5.71 4.74 5.45 4.33 3.97 3.334 2.974 2.956 2.144 2.791 3.091 2.986 nan inf inf nan nan 2.12 nan inf inf 5.1 8.51 0.02 -0.02 "Multiple Observatories" "Radial Velocity" 0 1
"61 Vir c" "61 Vir" 199.601318 -18.311195 38.021 0.2175 0.14 341.0 nan nan nan nan 5577.0 0.96 0.94 8.96 2.76 -3.08 5.71 4.74 5.45 4.33 3.97 3.334 2.974 2.956 2.144 2.791 3.091 2.986 nan inf inf nan nan 3.62 nan inf inf 18.2 8.51 0.02 -0.02 "Multiple Observatories" "Radial Velocity" 0 1
